epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,3598.97,1.76842,2.41367,2.00981,0.51702,0.40343,0.439,0.20818,nan,nan,nan,0.001604,0.001604,0.001604
22,3761.67,1.75221,2.45097,2.02176,0.48161,0.38996,0.38932,0.18414,nan,nan,nan,0.0015842,0.0015842,0.0015842
23,3924.34,1.74231,2.41106,2.00082,0.56897,0.38784,0.4406,0.20696,nan,nan,nan,0.0015644,0.0015644,0.0015644
24,4087.59,1.73603,2.34341,2.008,0.57062,0.41974,0.46145,0.22676,nan,nan,nan,0.0015446,0.0015446,0.0015446
25,4244.2,1.72202,2.32369,1.97485,0.51317,0.39201,0.41499,0.20965,nan,nan,nan,0.0015248,0.0015248,0.0015248
26,4403.67,1.72041,2.28303,1.98928,0.56404,0.3998,0.43995,0.21869,nan,nan,nan,0.001505,0.001505,0.001505
27,4568.44,1.69855,2.24226,1.96394,0.56016,0.4317,0.48256,0.24161,nan,nan,nan,0.0014852,0.0014852,0.0014852
28,4731.18,1.70623,2.28138,1.96879,0.52321,0.41476,0.45113,0.22134,nan,nan,nan,0.0014654,0.0014654,0.0014654
29,4893.74,1.6846,2.1963,1.93091,0.51944,0.48754,0.50079,0.25318,nan,nan,nan,0.0014456,0.0014456,0.0014456
30,5056.26,1.70636,2.20667,1.94885,0.58637,0.49252,0.53717,0.26988,1.66352,2.03758,2.0436,0.0014258,0.0014258,0.0014258
31,5218.71,1.71355,2.18934,1.954,0.53079,0.42672,0.48306,0.2382,nan,nan,nan,0.001406,0.001406,0.001406
32,5382.52,1.67608,2.16184,1.92522,0.60635,0.46071,0.53401,0.2671,nan,nan,nan,0.0013862,0.0013862,0.0013862
33,5547.54,1.65876,2.17017,1.93116,0.59526,0.45309,0.50687,0.25908,nan,nan,nan,0.0013664,0.0013664,0.0013664
34,5715.85,1.66855,2.07715,1.92076,0.62382,0.50847,0.56106,0.28707,nan,nan,nan,0.0013466,0.0013466,0.0013466
35,5883.81,1.68366,2.17132,1.94337,0.59982,0.49252,0.54198,0.26857,nan,nan,nan,0.0013268,0.0013268,0.0013268
36,6085.19,1.65604,2.08825,1.90737,0.64151,0.47956,0.54251,0.27234,nan,nan,nan,0.001307,0.001307,0.001307
37,6283.25,1.67039,2.08515,1.92506,0.62179,0.51305,0.57399,0.29256,nan,nan,nan,0.0012872,0.0012872,0.0012872
38,6453.69,1.63102,2.07221,1.90147,0.59801,0.47258,0.5302,0.27134,nan,nan,nan,0.0012674,0.0012674,0.0012674
39,6628.02,1.61457,2.02569,1.88684,0.65383,0.45364,0.55838,0.27566,nan,nan,nan,0.0012476,0.0012476,0.0012476
40,6800.62,1.62969,1.98676,1.89548,0.63995,0.4985,0.57485,0.29248,nan,nan,nan,0.0012278,0.0012278,0.0012278
41,6973.81,1.64535,1.99136,1.90057,0.64962,0.50464,0.59067,0.30028,1.66411,1.81148,2.05339,0.001208,0.001208,0.001208
42,7141.12,1.64054,1.9868,1.90015,0.67346,0.51201,0.60758,0.31073,1.65467,1.83343,2.03232,0.0011882,0.0011882,0.0011882
43,7307.82,1.63148,1.95638,1.90428,0.63168,0.54205,0.60393,0.30399,1.62927,1.76756,2.02181,0.0011684,0.0011684,0.0011684
44,7474.03,1.62714,1.99188,1.8991,0.63652,0.52044,0.60483,0.30928,1.62274,1.82264,2.00998,0.0011486,0.0011486,0.0011486
45,7640.25,1.59424,1.93231,1.83935,0.63144,0.53539,0.60735,0.31258,1.61557,1.75102,1.97753,0.0011288,0.0011288,0.0011288
46,7807.21,1.60522,1.92707,1.86673,0.64383,0.5653,0.63308,0.31112,1.64025,1.74467,1.98116,0.001109,0.001109,0.001109
47,7974.34,1.60142,1.91113,1.86508,0.62153,0.5653,0.61758,0.31815,1.60785,1.75616,1.98715,0.0010892,0.0010892,0.0010892
